Date,LIQ_PS
2012-12-31,0.01673154
2013-01-31,-0.02549078
2013-02-28,-0.00809271
2013-03-28,0.00607252
2013-04-30,-0.01888749
2013-05-31,0.00363658
2013-06-28,-0.0130649
2013-07-31,0.00276527
2013-08-30,0.01257205
2013-09-30,-0.02340124
2013-10-31,-0.02071411
2013-11-29,-0.02687523
2013-12-31,-0.00299505
2014-01-31,0.03016848
2014-02-28,-0.00845716
2014-03-31,0.03065791
2014-04-30,-0.05041689
2014-05-30,0.00294652
2014-06-30,0.01516767
2014-07-31,-0.00384578
2014-08-29,0.00352413
2014-09-30,0.0211618
2014-10-31,0.04238834
2014-11-28,0.00220695
2014-12-31,0.02564281
2015-01-30,-0.01822077
2015-02-27,0.00068547
2015-03-31,0.01244365
2015-04-30,-0.00539322
2015-05-29,0.0448221
2015-06-30,0.02952947
2015-07-31,0.00868989
2015-08-31,-0.00664299
2015-09-30,0.00601446
2015-10-30,-0.06909777
2015-11-30,0.03966728
2015-12-31,-0.00089856
2016-01-29,-0.03380666
2016-02-29,-0.02869227
2016-03-31,-0.02126196
2016-04-29,-0.01051141
2016-05-31,0.01759801
2016-06-30,-0.01530551
2016-07-29,0.03289437
2016-08-31,-0.00538695
2016-09-30,0.01145573
2016-10-31,0.01155861
2016-11-30,-0.00348322
2016-12-30,-0.0148546
2017-01-31,0.02084784
2017-02-28,-0.02596674
2017-03-31,-0.03516001
2017-04-28,-0.02159388
2017-05-31,-0.03513859
2017-06-30,0.03204044
2017-07-31,0.03266733
2017-08-31,-0.02430416
2017-09-29,-0.01470475
2017-10-31,-0.04787233
2017-11-30,-0.01565814
2017-12-29,0.05101684
2018-01-31,0.01197226
2018-02-28,0.05234304
2018-03-29,0.00320805
2018-04-30,0.01273375
2018-05-31,0.06977742
2018-06-29,-0.02195374
2018-07-31,-0.00600478
2018-08-31,-0.0163154
2018-09-28,0.0047055
2018-10-31,-0.07063411
2018-11-30,0.02578861
2018-12-31,-0.00140301
2019-01-31,0.03250807
2019-02-28,-0.00572544
2019-03-29,0.00260258
2019-04-30,0.00214166
2019-05-31,-0.00789845
2019-06-28,-0.0294749
2019-07-31,-0.00176625
2019-08-30,-0.00873951
2019-09-30,-0.05148881
2019-10-31,0.00933833
2019-11-29,0.02373162
2019-12-31,0.00036564
2020-01-31,0.01899237
2020-02-28,0.0418123
2020-03-31,-0.104604
2020-04-30,0.11786837
2020-05-29,0.07188623
2020-06-30,0.06207143
2020-07-31,0.00183782
2020-08-31,0.0434378
2020-09-30,-0.00457123
2020-10-30,0.04024594
2020-11-30,0.02269255
2020-12-31,0.05047319
2021-01-29,-0.04726165
2021-02-26,0.02121011
2021-03-31,-0.07403031
2021-04-30,0.00111433
2021-05-28,-0.03222735
2021-06-30,0.03817024
2021-07-30,-0.00138521
2021-08-31,0.00271294
2021-09-30,-0.01032278
2021-10-29,0.0165509
2021-11-30,-0.02551461
2021-12-31,-0.02553144
2022-01-31,-0.04959716
2022-02-28,0.00991303
2022-03-31,-0.02621687
2022-04-29,-0.03122854
2022-05-31,-0.0699113
2022-06-30,0.03554017
2022-07-29,0.00798338
2022-08-31,0.01255581
2022-09-30,0.05754903
2022-10-31,-0.08972275
2022-11-30,-0.05560767
2022-12-30,-0.01769357
2023-01-31,-0.03708065
2023-02-28,0.00142442
2023-03-31,0.05700404
2023-04-28,0.01371129
2023-05-31,0.0396107
2023-06-30,-0.06257895
2023-07-31,-0.03221861
2023-08-31,-0.04319336
2023-09-29,-0.04194287
2023-10-31,0.00283961
2023-11-30,0.05419435
2023-12-29,0.03730772
2024-01-31,-0.04379254
2024-02-29,-0.00962653
2024-03-28,-0.0041858
2024-04-30,0.00558297
2024-05-31,0.06895601
2024-06-28,0.02877454
2024-07-31,-0.02919883
2024-08-30,-0.03676326
2024-09-30,-0.02948378
2024-10-31,0.02804044
2024-11-29,0.00855156
2024-12-31,0.04091796
