Date,MktRf,SMB,HML,RMW,CMA,RF,UMD,LTR,STR,LIQ_PS,HXZ_IA,HXZ_ROE,Intermediary,BAB,QMJ,HML_Devil
2015-04-30,0.006,-0.0301,0.018,0.0005,-0.0062,0.0,-0.0727,0.0121999999999999,0.0425,-0.00539322,-0.008011,-0.021972,0.0579779815439224,-0.0216570744029815,-0.0118543650479062,0.0440085040705513
2015-05-29,0.0138,0.0081999999999999,-0.0111,-0.0176,-0.0083,0.0,0.0567999999999999,-0.0085,0.0241,0.0448221,-0.00612,0.014466,0.0052426582500151,0.0266998658341911,0.0042089417422948,-0.0343151645357098
2015-06-30,-0.0154,0.0289999999999999,-0.0081999999999999,0.0034999999999999,-0.0154,0.0,0.0301,-0.0095,-0.0356,0.02952947,-0.024461,0.012477,0.0421013685523428,0.0196917859482489,0.0250573052199267,-0.0242700420676275
2015-07-31,0.0157,-0.0458,-0.0416,0.0031,-0.0243999999999999,0.0,0.0997,-0.0141999999999999,-0.05,0.00868989,-0.027296,0.043509,0.0255904302749499,0.0548743689154422,0.017144670006839,-0.0572492812408955
2015-08-31,-0.0602,0.0029,0.0275,0.0066,0.0129,0.0,-0.0216,0.0139,0.0153,-0.00664299,0.011632,0.007598,-0.0732851929871433,-0.015419083857284,0.0172828587330177,0.0197237059077116
2015-09-30,-0.0306,-0.0279999999999999,0.0055,0.018,-0.0059,0.0,0.0524,0.0015,-0.032,0.00601446,0.0030719999999999,0.0427289999999999,-0.0490874825319761,0.0564243731197131,0.0548020899967684,-0.0253590125668264
2015-10-30,0.0775,-0.0206,-0.0046999999999999,0.0095,0.0060999999999999,0.0,-0.0319,-0.0053,0.0096,-0.06909777,0.0065239999999999,-0.02314,0.0502663206041886,-0.0103826109381568,0.0012640915633679,0.0050976354145786
2015-11-30,0.0056999999999999,0.033,-0.0043,-0.0265,-0.0106,0.0,0.0229,-0.0016,0.0018,0.03966728,-0.005479,-0.017097,0.0040575739259869,0.0134479944487014,0.0077233736295669,-0.0265400051025618
2015-12-31,-0.0215,-0.0295,-0.0256999999999999,0.0034,0.0012,0.0001,0.0334,-0.0237999999999999,0.0116999999999999,-0.00089856,0.00328,0.029435,0.0204249501788021,0.0257935414260308,0.0145770669270169,-0.0350884809123411
2016-01-29,-0.0574,-0.0344,0.0208,0.0278,0.0305,0.0001,0.016,-0.0104,-0.0293,-0.03380666,0.027736,0.053293,-0.1213850125584457,0.0070983943370924,0.0761351466396008,-0.0063095186983152
